java.lang.system.arraycopy(),system.array.copy()
java.lang.integer.parseint(),system.string.substring()
java.lang.string.valueof(),system.string.tostring()
java.lang.math.max(),system.math.divrem()
java.lang.string.indexof(),system.string.substring()
java.lang.double.parsedouble(),system.double.tryparse()
java.lang.string.equalsignorecase(),system.string.endswith()
java.lang.math.min(),system.math.max()
java.lang.reflect.constructor.newinstance(),system.security.cryptography.pkcs.cmsrecipientcollection.add()
java.lang.math.round(),system.windows.size.tostring()
java.lang.integer.valueof(),system.string.replace()
java.lang.system.getproperty(),system.string.replace()
java.lang.string.replaceall(),system.string.replace()
java.lang.math.log(),system.double.isnan()
java.lang.string.tolowercase(),system.string.endswith()
java.lang.math.random(),system.web.ui.htmlcontrols.htmlgenericcontrol.removecssclass()
java.lang.long.parselong(),system.string.replace()
java.lang.character.iswhitespace(),system.char.ispunctuation()
java.lang.double.valueof(),system.single.tostring()
java.lang.string.compareto(),system.string.tolower()
java.lang.string.matches(),system.string.startswith()
java.lang.math.ceil(),system.math.floor()
java.lang.long.valueof(),system.object.tostring()
java.lang.string.touppercase(),system.string.substring()
java.lang.character.tolowercase(),system.string.substring()
java.lang.character.isdigit(),system.string.substring()
java.lang.ref.reference.get(),system.security.policy.permissionrequestevidence.tostring()
java.lang.string.concat(),system.globalization.textinfo.toupper()
java.lang.character.touppercase(),system.string.substring()
java.lang.class.isinstance(),system.windows.size.toavaloniasize()
java.lang.string.comparetoignorecase(),system.string.toupper()
java.lang.string.getchars(),system.string.indexof()
java.lang.character.isuppercase(),system.string.substring()
java.lang.stringbuffer.delete(),system.string.substring()
java.lang.stringbuffer.getchars(),system.numerics.biginteger.parse()
java.lang.stringbuffer.deletecharat(),system.string.substring()
java.lang.character.islowercase(),system.string.substring()
java.lang.string.codepointat(),system.string.substring()
java.lang.stringbuilder.replace(),system.text.stringbuilder.append()
java.lang.stringbuilder.indexof(),system.text.stringbuilder.append()
java.lang.character.isisocontrol(),system.string.substring()
java.lang.character.isspacechar(),system.string.substring()
java.lang.enum.name(),system.globalization.textinfo.tolower()
java.lang.runtime.availableprocessors(),system.design.sr.resources()
